o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
PICKUP PLACE_0_0 KEY_0,0.33,0.15,0.09,1.3900000000000001,3,10,1.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.33,0.18,0.14,1.37,2,9,1.0,N
PICKUP PLACE_0_0 KEY_1,0.5,0.5,0.31,1.69,1,9,1.0,N
MOVE PLACE_0_0 PLACE_1_0,0.33,1.0,0.0,2.33,0,-1,0.0,Y
MOVE PLACE_1_0 PLACE_2_0,0.33,0.21,0.25,1.29,4,8,0.0,N
MOVE PLACE_2_0 PLACE_2_1,0.5,0.16,0.1,1.56,5,6,0.0,N
MOVE PLACE_2_1 PLACE_2_2,0.33,0.24,0.14,1.4300000000000002,7,5,0.0,N
MOVE PLACE_2_2 PLACE_2_3,0.33,0.12,0.21,1.24,6,4,0.0,N
MOVE PLACE_2_3 PLACE_3_3,1.0,0.5,0.25,2.25,6,4,0.0,N
UNLOCK PLACE_3_3 PLACE_3_2 KEY_1 SHAPE_1,0.5,0.62,0.25,1.87,5,3,0.0,N
MOVE PLACE_3_3 PLACE_2_3,0.33,0.08,0.33,1.08,4,2,0.0,N
MOVE PLACE_2_3 PLACE_2_2,0.33,0.17,0.33,1.17,3,1,0.0,N
MOVE PLACE_2_2 PLACE_1_2,1.0,0.0,1.0,1.0,-1,0,0.0,N
